author,comment,likes,published
@fla1052,"Program MBG ❤investasi terbaik,,untuk anak jangan lihat yang mampu lihat yang keluarga brokenhome ,orangtua sibuk bekerja,janganlah arogan lihat ke atas kalian lihat ini terbaik bila mau AMAL ,bukan kasih sumbangan perang ,lihat sekeliling kita banyak yang harus diperhatikan ,,,MBG ❤sesuai dengan visi misi Bpk.Prabowo",1,2025-09-03T10:46:07Z
@SarahNagita,"Jujur pak, saya seneng ada program mbg, meringankan ekonomi saya pak,jadi uang bekal makan anak saya bisa saya tabung buat kedepannya pak, trus sama buka lowongan kerja yang sekarang cari kerja susah amat pak, harus lewat calo,dimana2 itu pak",0,2025-09-03T06:10:50Z
@ningrumkaranganyar2148,"Kalau memang diawasi oleh ahli gizi, apakah mie ayam dan baso termasuk menu makanan bergizi. Di daerah Boyolali keluar menu tsb.",0,2025-09-03T01:26:15Z
@meme2331,"Tentang nampan MBG yg IMPPORT gmn tuh ceritanya? Bs dijelaskan? Agar tidak menjadi berita yg hoax.
Tolong bang HY tanyakan.",0,2025-09-02T22:57:38Z
@FiroNafiroh,Alhamdulillah program makan gratis sgt bermanfaat bagi org byk.,0,2025-09-02T19:11:45Z
@Aunafarming,"Knp ompreng  impor masuk trus...
Prodak Indonesia jdi g laku...
KTanya mau produk Indonesia",0,2025-09-02T14:58:57Z
@manapmatahariterbit2788,1 DAPUR MBG 1 PEMILIK PENGUSAHA WILAYAH JGN SAMPAI DIKUASAI SESEORANG  BIAR SETIAP WILAYAH IKUT ANDIL ..SUKSES DAPUR MBG,0,2025-09-02T13:59:23Z
@pakdegus4380,Mending dana MBG di bagikan ke elit ajjah sebab sampai kini daerah grobogan hanya dengar omon omon doang doang,0,2025-09-02T04:04:00Z
@trihermawan6296,"Ganti uang aj pak, mbg merugikan pedagang kakai 5, contoh yg jualan di sekitar mbg, GK boleh jualan hrus di pindah",0,2025-09-02T03:48:12Z
@aditrizqi941,Mbg rugikan kantin dan pedagang keliling,1,2025-09-01T18:45:05Z
@sonyaaniapenna9022,"TOLONG DI HAPUS SAJA PROGRAM INI..GA GUNA ,HANYA MEMBUKA CELAH KORUPSI MASSAL DAN TIDAK TEPAT SASARAN!!!",0,2025-09-01T10:48:00Z
@jalur_langit_ar_sky,Kenapa harus ada fee yayasan 2rb rupiah per porsi per hari? Sedangkan yayasan. Kontribusi nya apa? Enak kali bisa dapet 2rbx3rb porsi = 6jt per hari,0,2025-09-01T08:11:50Z
@lukaskurniawan9090,Program MBG dihapus saja.... tidak berdampak pada Peningkatkan kesejahteraan Masyarakat. Malah kisruh,0,2025-09-01T08:01:04Z
@TuwahTuwah-e4w,"Program MBG sangat baik teruskan Pak Presiden Prabowo,saya selaku Rakyat siap dan ikut mensukseskan",1,2025-09-01T03:41:45Z
@dogopatisari,Pak Dadan tolong diawasi pemberian kontrak kepada yayasan2 yang menerima proyek MBG. banyak permainan dan pungli dalam pemberian kontrak kepada dapur2 yang mengelola MBG. tolong KPK dan Kejaksaan di ikut sertakan dalam penunjukan dapur2 MBG.,0,2025-08-30T07:22:04Z
@sale234,"Bang Helmi bisa tolong saya bertemu pak Dadan,
Saya mau cari petunjuk atas permasalahan dapur yang saya kelola 

Tolong bantu up",1,2025-08-30T01:31:31Z
@BpkMarzuki-bp2ti,"Makan bergizi hanya akan JD lahan korupsi baru,seperti bansos juga di korupsi",0,2025-08-29T13:08:52Z
@inyomanaditasuyasa1041,"MBG, hanya di kota2 daerah terpencil dan pedesaan di anak tirikan pakta di lapanga.....",0,2025-08-29T10:34:18Z
@radenbagusrinangku4369,👁👁...,0,2025-08-29T10:08:08Z
@bambangsudjatmiko9131,TUJUAN BAGUS PELAKSANAAN KACAU.  DANA YG SAMPAI DAPUR DIPOTONG FEE UTK CALO/YAYASAN/ORMAS. STOP PROGRAM INI. HANYA BAGI2 DUIT SAJA.,0,2025-08-29T06:33:58Z
@bajingluncatkanal,PROGRAM MAKAN GRATIS DICANANGKAN SOALNYA SI BOS HOBI MAKAN ENAK.....,0,2025-08-29T02:52:36Z
@mmc-ouf,Ada konten sblm ini saya tonton mbaknya bilang ada yg lauknya gak matang pak wah y sakit perut dong pak anak sya malahan,0,2025-08-29T02:04:28Z
@SUWATISUWATI-h9v,Lanjutkan pak . sesekali control menunya agar lebih berkualitas lagi,0,2025-08-28T21:41:39Z
@SUWATISUWATI-h9v,MBG keren pak...,0,2025-08-28T21:37:59Z
@dzikyramadhan21,bubar aja negara program ga efektif mkin bnyak utang negara,0,2025-08-28T05:54:06Z
@hanton007,"Minta dari Hongkong, skolah anak saya satu skolah nolak takut anak mlh keracunan, program yg aneh, lbh bagus buka lapangan kerja ato  bantu siswa yg kurang mampu, apa2 buat bangsa pdhl aslinya bagi2 kue doank, kpn ya punya pemimpin yg cerdas dan takut akan Tuhan, mungkin tunggu ayam tumbuh gigi",5,2025-08-28T05:18:14Z
@andilubis7525,solusi penyebab karena faktor uang jajan sekolah sebaik nya gaji org tua nya yg dinaikkan,0,2025-08-28T03:04:58Z
